Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD,Sales_Volume,Sales_Classification
M5,2024,Africa,Red,Hybrid,Manual,4,58149,78986,7464,High
5 Series,2022,Europe,Black,Petrol,Automatic,1.6,132258,103829,4745,Low
i8,2018,Middle East,White,Petrol,Automatic,4.1,180684,71402,327,Low
M3,2016,Middle East,White,Electric,Manual,1.9,24580,58836,191,Low
X6,2013,North America,Grey,Hybrid,Automatic,2.3,92773,53215,3425,Low
X5,2013,South America,Silver,Electric,Manual,4.3,167609,105480,6457,Low
M3,2024,North America,Silver,Electric,Manual,1.9,48462,49614,1748,Low
M5,2012,North America,Blue,Electric,Manual,4.4,88244,112422,901,Low
X3,2016,Middle East,Red,Hybrid,Automatic,2,187686,74680,703,Low
X6,2010,Africa,Grey,Petrol,Automatic,2.2,108902,34870,2064,Low
X1,2023,Asia,Grey,Petrol,Automatic,4,60517,116077,5625,Low
M5,2019,Middle East,Red,Hybrid,Manual,5,622,119300,1721,Low
X6,2010,Europe,Blue,Petrol,Automatic,4.8,155685,58771,3429,Low
M3,2020,Asia,Grey,Diesel,Manual,2.6,143993,109265,8027,High
i8,2015,Europe,White,Diesel,Manual,3.1,153622,44554,2134,Low
5 Series,2011,South America,Red,Diesel,Manual,4.4,40831,36221,5876,Low
M3,2014,Asia,Grey,Hybrid,Manual,4.9,138174,114450,5854,Low
X5,2012,Asia,White,Hybrid,Automatic,2.4,197087,117486,7165,High
X5,2014,Europe,Red,Electric,Manual,2.8,18929,30886,3429,Low
i8,2013,Africa,Blue,Hybrid,Automatic,3.6,66031,69910,4326,Low
X3,2024,North America,Silver,Diesel,Automatic,4.3,8308,76007,8573,High
i3,2024,Asia,Blue,Hybrid,Automatic,3.4,741,108646,5966,Low
M3,2021,Africa,Red,Petrol,Automatic,4,14057,118070,8877,High
5 Series,2010,South America,Silver,Hybrid,Automatic,1.8,34385,38876,8750,High
X1,2014,Middle East,Black,Electric,Automatic,3.6,76659,109657,9515,High
X1,2018,Asia,Red,Diesel,Manual,3.8,22222,64933,1394,Low
M3,2023,South America,Black,Diesel,Manual,4.8,4164,57059,5105,Low
5 Series,2023,Africa,Red,Electric,Automatic,4.6,148542,56132,1484,Low
i3,2016,South America,Red,Electric,Automatic,4.3,360,36417,7913,High
X3,2024,Asia,Black,Hybrid,Automatic,1.8,94087,118406,238,Low
7 Series,2011,Europe,Black,Electric,Manual,2.1,55091,62444,6668,Low
X1,2018,Europe,Blue,Hybrid,Automatic,4.1,41613,59674,2512,Low
i8,2013,North America,White,Hybrid,Manual,4.7,147394,51710,4702,Low
M3,2010,South America,Silver,Petrol,Manual,2.4,185946,96328,7814,High
X1,2016,Asia,Black,Petrol,Automatic,2.4,114847,53269,8973,High
3 Series,2023,Asia,White,Hybrid,Manual,1.9,140260,51104,9092,High
X1,2010,Asia,Silver,Electric,Manual,4.4,96713,103020,1543,Low
M3,2024,North America,Red,Hybrid,Automatic,3.1,128672,59229,1386,Low
X6,2019,Asia,Grey,Diesel,Automatic,4.1,80677,113469,388,Low
M5,2015,North America,Blue,Hybrid,Automatic,3.9,14852,78109,4447,Low
i3,2019,South America,Blue,Electric,Manual,3.1,83433,35600,6978,Low
X1,2022,South America,Silver,Electric,Automatic,1.7,132804,48273,9713,High
X5,2020,Asia,Silver,Diesel,Automatic,2.3,46781,46987,4784,Low
M3,2021,South America,White,Electric,Manual,3.3,155074,81955,3376,Low
X6,2021,Middle East,White,Electric,Automatic,3.7,79046,102690,6995,Low
7 Series,2018,North America,Blue,Diesel,Automatic,3.1,88022,43926,6562,Low
M3,2017,South America,Grey,Petrol,Automatic,4.5,141388,67106,4292,Low
M5,2021,Asia,Blue,Petrol,Manual,2.3,160149,99226,6532,Low
7 Series,2024,Europe,Grey,Petrol,Manual,1.7,50816,53417,1517,Low
X6,2020,Middle East,White,Hybrid,Manual,3.6,171890,31573,6898,Low
3 Series,2013,Middle East,Grey,Petrol,Automatic,3.8,128385,81525,1146,Low
i8,2019,Asia,Grey,Hybrid,Automatic,4.6,153519,104865,4789,Low
X5,2014,Middle East,Blue,Diesel,Manual,3.2,180103,102075,9892,High
X5,2017,North America,White,Hybrid,Automatic,2.5,155862,102472,9771,High
X1,2015,South America,Black,Diesel,Automatic,4.3,43607,64470,4820,Low
X6,2017,Asia,Blue,Hybrid,Manual,2.8,175779,94821,482,Low
X5,2014,Europe,Grey,Hybrid,Manual,1.9,26141,96848,7707,High
X3,2010,Middle East,Blue,Hybrid,Automatic,3.5,158583,106332,8354,High
7 Series,2010,Europe,White,Diesel,Automatic,4.8,155416,44718,968,Low
M5,2011,South America,Red,Electric,Manual,2.6,167302,66233,1904,Low
5 Series,2022,South America,Blue,Electric,Automatic,3.1,69490,36653,5973,Low
7 Series,2022,South America,Red,Petrol,Manual,4.1,23939,101146,2564,Low
5 Series,2021,South America,Blue,Hybrid,Manual,5,73554,76224,7134,High
i3,2012,Africa,Red,Petrol,Automatic,4.3,85570,66128,6694,Low
7 Series,2023,Africa,Black,Electric,Manual,5,86600,48093,8196,High
3 Series,2016,South America,Red,Petrol,Manual,2.3,149716,66629,3871,Low
X6,2019,Europe,Blue,Hybrid,Manual,5,123789,57594,6022,Low
5 Series,2014,South America,Red,Diesel,Manual,3.7,96512,65804,9804,High
X3,2016,Europe,Silver,Hybrid,Manual,4.1,139992,90949,8085,High
M3,2018,Africa,Silver,Electric,Automatic,3.9,36265,42802,4391,Low
X6,2021,Europe,Blue,Diesel,Manual,4.1,163317,89874,5968,Low
M3,2015,South America,Silver,Hybrid,Manual,2.4,124478,106912,4157,Low
X1,2022,Middle East,White,Hybrid,Automatic,2.2,189835,71763,9956,High
X1,2018,Africa,Silver,Petrol,Automatic,2.6,40373,119281,3816,Low
5 Series,2010,South America,Red,Electric,Automatic,4,9951,39129,8440,High
X6,2020,Africa,Grey,Hybrid,Automatic,2.6,51728,106992,5982,Low
X3,2020,Middle East,Red,Hybrid,Automatic,3.6,115965,53272,8645,High
M5,2024,North America,Blue,Petrol,Manual,2.7,153046,68158,4431,Low
M5,2016,North America,Blue,Diesel,Manual,2.2,13260,115180,2841,Low
X1,2014,Africa,Silver,Diesel,Automatic,4.6,190471,89457,4685,Low
X3,2017,Middle East,Black,Hybrid,Manual,3.2,11756,76966,9107,High
M3,2016,South America,Grey,Electric,Automatic,3,102675,93915,9470,High
M5,2011,Africa,Blue,Diesel,Manual,2.5,60717,55781,2293,Low
7 Series,2024,Asia,Red,Petrol,Manual,1.6,115889,67344,2081,Low
7 Series,2024,Africa,Black,Petrol,Manual,2.8,196768,59078,9262,High
X1,2019,South America,Red,Electric,Automatic,3.8,174578,48639,5843,Low
X6,2016,Africa,Silver,Petrol,Manual,2.7,64862,65695,5033,Low
7 Series,2016,Europe,Grey,Hybrid,Manual,3.1,47512,33527,7799,High
i8,2017,Europe,Black,Hybrid,Automatic,4.6,67893,33685,9450,High
5 Series,2023,South America,Black,Diesel,Manual,2.5,154005,92804,3173,Low
5 Series,2018,Africa,White,Diesel,Manual,4.3,120725,95063,8010,High
5 Series,2021,Africa,White,Electric,Automatic,5,107866,46932,1472,Low
i3,2024,Middle East,Red,Diesel,Manual,4.1,58396,85549,8814,High
i8,2019,Asia,Silver,Diesel,Automatic,2,175537,116443,7607,High
7 Series,2024,Europe,Grey,Electric,Automatic,3.6,170682,115819,9758,High
i3,2010,Middle East,Grey,Hybrid,Manual,3.5,72960,100317,7111,High
X1,2012,Europe,Black,Hybrid,Manual,4.9,106451,109257,7261,High
5 Series,2013,Middle East,Red,Diesel,Manual,3.8,94669,66832,8605,High
X5,2013,Asia,Black,Diesel,Automatic,3.6,55917,73609,6276,Low
3 Series,2014,Asia,Blue,Electric,Manual,2,29597,117123,8055,High
X6,2015,Middle East,Red,Electric,Manual,3.7,176149,78034,5346,Low
i8,2016,Africa,White,Hybrid,Automatic,2,116828,116644,3218,Low
M3,2017,North America,Black,Electric,Automatic,3.1,17343,71081,563,Low
3 Series,2012,Asia,Red,Hybrid,Automatic,4.5,8083,57377,6402,Low
M3,2019,South America,White,Hybrid,Manual,3.7,199455,95972,8060,High
X3,2010,Europe,Grey,Electric,Manual,3.6,131703,88507,2136,Low
5 Series,2020,South America,Red,Electric,Manual,3.6,90595,102829,9637,High
M5,2015,Africa,Black,Petrol,Manual,2.3,155531,79099,468,Low
7 Series,2024,North America,Grey,Petrol,Automatic,1.9,48199,58511,3615,Low
M3,2015,South America,Blue,Hybrid,Manual,3.6,198557,100324,5584,Low
3 Series,2023,Africa,Silver,Hybrid,Automatic,2.1,90771,60020,8620,High
3 Series,2015,South America,Silver,Petrol,Automatic,2.7,106520,52243,5418,Low
3 Series,2010,Europe,Blue,Electric,Automatic,1.6,121142,38012,9484,High
M5,2024,South America,Black,Diesel,Manual,4.7,87480,60653,1919,Low
M3,2010,Middle East,Blue,Electric,Manual,3.1,104385,83391,1158,Low
X3,2014,Africa,Black,Petrol,Automatic,4.1,48387,34998,2284,Low
3 Series,2022,Europe,Grey,Electric,Manual,4.3,174129,87701,4493,Low
i8,2011,South America,Silver,Electric,Manual,4.5,89120,94604,5612,Low
M3,2013,Europe,White,Electric,Automatic,4.3,183540,44647,8915,High
i8,2018,Middle East,Blue,Petrol,Manual,1.7,44905,36102,4325,Low
i8,2018,South America,Grey,Petrol,Manual,2.5,65356,87338,6353,Low
M3,2012,Asia,Grey,Hybrid,Manual,2.5,116458,65187,7831,High
X6,2011,North America,Red,Hybrid,Manual,3.9,193616,72449,1980,Low
X6,2019,South America,White,Diesel,Manual,4.4,22216,95918,3937,Low
M3,2018,North America,Blue,Diesel,Manual,4.6,142299,108218,7610,High
X5,2022,Africa,Blue,Hybrid,Automatic,2.7,143130,53632,1531,Low
M3,2021,Middle East,White,Hybrid,Manual,2.9,162609,54134,904,Low
5 Series,2022,Asia,Grey,Electric,Automatic,4.2,38931,100483,1919,Low
X1,2024,Middle East,Silver,Electric,Automatic,2.8,31254,105183,2870,Low
M3,2021,Middle East,White,Diesel,Manual,1.6,89082,100387,4801,Low
3 Series,2010,South America,Grey,Hybrid,Automatic,4.7,181023,45050,7864,High
i8,2023,South America,White,Diesel,Automatic,4.1,81291,84613,1588,Low
X1,2010,Asia,Grey,Petrol,Manual,3.3,164460,38891,5307,Low
3 Series,2022,South America,Blue,Electric,Automatic,1.5,54569,60204,2772,Low
X1,2011,North America,Blue,Hybrid,Automatic,3.2,3067,64618,1657,Low
i3,2021,Asia,Silver,Diesel,Automatic,5,73171,103926,7982,High
X5,2021,Africa,White,Hybrid,Automatic,4.6,150332,39327,6900,Low
5 Series,2013,South America,White,Hybrid,Automatic,2.8,164587,72684,1953,Low
X1,2011,Africa,Black,Electric,Manual,4.5,123077,63417,8771,High
M5,2018,Middle East,Red,Electric,Manual,2.7,188498,83060,8963,High
3 Series,2022,South America,Grey,Electric,Manual,4.8,108210,46223,4008,Low
X1,2023,Asia,Grey,Hybrid,Manual,4.6,137146,76682,6056,Low
X6,2013,South America,White,Hybrid,Manual,4.5,94915,50923,7821,High
M3,2015,North America,Grey,Electric,Manual,4.6,116558,99604,8838,High
X6,2011,Asia,Grey,Electric,Automatic,1.7,191549,95300,8992,High
X3,2023,Asia,Black,Hybrid,Automatic,4.2,114792,68698,1781,Low
X5,2016,Africa,Grey,Petrol,Manual,4.4,38526,61444,3110,Low
